x,Ch1_1,is_cusum_turning,is_steep_endpoint
1.0,1582.0,0,0
3.0,1583.0,1,0
123.0,1600.0,1,1
128.0,4386.0,0,1
153.0,4427.0,1,1
158.0,3611.0,0,1
173.0,3531.0,1,1
178.0,3091.0,0,1
188.0,3078.0,0,1
193.0,2571.0,1,0
194.0,2653.0,0,1
236.0,2542.0,0,1
243.0,3545.0,0,1
245.0,3468.0,1,0
246.0,3514.0,0,1
255.0,2195.0,1,0
259.0,2202.0,0,1
373.0,2139.0,1,1
378.0,1594.0,0,1
1339.0,1544.0,0,1
1344.0,3936.0,1,0
1345.0,3961.0,0,1
1346.0,4033.0,0,1
1360.0,2626.0,0,1
1368.0,2458.0,0,1
1369.0,2498.0,1,0
1379.0,3629.0,0,1
1386.0,3584.0,1,1
1394.0,2466.0,0,1
1451.0,2255.0,1,0
1484.0,2041.0,1,1
1489.0,3052.0,0,1
1631.0,3118.0,0,1
1636.0,2576.0,1,1
1638.0,2584.0,0,1
1643.0,3052.0,1,1
1649.0,3021.0,1,0
1650.0,2984.0,0,1
1663.0,2343.0,0,1
1716.0,2426.0,0,1
1721.0,1750.0,1,0
1724.0,1677.0,0,1
2013.0,1542.0,0,1
2018.0,1840.0,1,0
2020.0,1885.0,0,1
2230.0,1852.0,1,0
2234.0,1972.0,0,1
2240.0,1628.0,0,1
9363.0,1787.0,1,0
9563.0,1882.0,1,0
9768.0,1738.0,1,0
9963.0,1956.0,1,0
10163.0,1943.0,1,0
10168.0,1792.0,0,1
10174.0,2048.0,0,1
10368.0,1880.0,1,0
10568.0,1879.0,1,1
10572.0,2089.0,0,1
10768.0,1834.0,1,1
10772.0,2136.0,0,1
10968.0,1876.0,1,0
11168.0,1890.0,1,1
11174.0,2193.0,0,1
11368.0,1846.0,1,1
11372.0,2229.0,0,1
11568.0,1821.0,1,1
11573.0,2239.0,0,1
11768.0,1868.0,1,1
11774.0,2263.0,0,1
11963.0,2061.0,0,1
11968.0,1811.0,1,1
12170.0,1882.0,1,1
12174.0,2274.0,0,1
12370.0,1865.0,1,1
12375.0,2387.0,0,1
12570.0,1889.0,1,1
12575.0,2340.0,0,1
12765.0,2079.0,0,1
12770.0,1853.0,1,1
12771.0,2045.0,0,1
12776.0,2329.0,0,1
12969.0,1672.0,0,1
12970.0,1872.0,1,0
12973.0,2367.0,0,1
13170.0,1897.0,1,1
13174.0,2323.0,0,1
13370.0,1910.0,1,1
13374.0,2375.0,0,1
13565.0,2104.0,0,1
13570.0,1875.0,1,1
13571.0,2036.0,0,1
13575.0,2386.0,0,1
13765.0,2147.0,0,1
13770.0,1918.0,1,1
13771.0,2030.0,0,1
13775.0,2373.0,0,1
13970.0,1905.0,1,1
13974.0,2465.0,0,1
14170.0,1902.0,1,1
14174.0,2448.0,0,1
14365.0,2169.0,0,1
14369.0,1654.0,0,1
14370.0,1860.0,1,0
14371.0,2014.0,0,1
14378.0,2352.0,0,1
14570.0,1907.0,1,1
14575.0,2444.0,0,1
14765.0,2115.0,0,1
14770.0,1867.0,1,1
14771.0,2029.0,0,1
14775.0,2367.0,0,1
14972.0,1922.0,1,1
14976.0,2374.0,0,1
15172.0,1887.0,1,1
15177.0,2421.0,0,1
15372.0,1898.0,1,1
15376.0,2366.0,0,1
15567.0,2085.0,0,1
15572.0,1856.0,1,1
15573.0,2057.0,0,1
15578.0,2364.0,0,1
15772.0,1929.0,1,1
15777.0,2320.0,0,1
15967.0,2116.0,0,1
15972.0,1872.0,1,1
16172.0,1878.0,1,1
16177.0,2288.0,0,1
16371.0,1655.0,0,1
16372.0,1918.0,1,0
16375.0,2507.0,0,1
16571.0,1631.0,0,1
16572.0,1878.0,1,0
16575.0,2401.0,0,1
16771.0,1640.0,0,1
16775.0,2375.0,0,1
16776.0,2344.0,1,0
16971.0,1653.0,0,1
16972.0,1917.0,1,0
16975.0,2375.0,0,1
17172.0,1900.0,1,1
17176.0,2357.0,0,1
17371.0,1677.0,0,1
17372.0,1890.0,1,0
17375.0,2414.0,0,1
17567.0,2112.0,1,1
17571.0,1648.0,0,1
17572.0,1871.0,0,1
17576.0,2440.0,0,1
17596.0,2164.0,1,1
17601.0,1905.0,1,0
17602.0,2091.0,0,1
17654.0,1455.0,0,1
17659.0,1865.0,1,1
17769.0,2106.0,1,1
17774.0,1881.0,1,1
17777.0,2216.0,1,0
17778.0,2123.0,0,1
17791.0,1455.0,1,1
17827.0,1480.0,0,1
17832.0,1922.0,1,1
17892.0,1929.0,1,0
17938.0,1921.0,0,1
17943.0,2140.0,1,0
17945.0,2565.0,0,1
17948.0,1935.0,1,0
17952.0,2107.0,1,1
17962.0,1452.0,0,1
18001.0,1457.0,1,1
18008.0,1934.0,0,1
18066.0,1927.0,1,0
18112.0,1921.0,0,1
18117.0,2189.0,1,1
18122.0,1911.0,1,0
18125.0,2215.0,1,1
