x,Ch1_1
1.0,1582.0
151.0,4446.0
377.0,1567.0
813.0,1511.0
1341.0,1550.0
1346.0,4033.0
1461.0,1989.0
1489.0,3052.0
1554.0,2892.0
1631.0,3118.0
1640.0,2503.0
1651.0,3155.0
1728.0,1552.0
2008.0,1523.0
2025.0,1912.0
2228.0,1704.0
2234.0,1972.0
2274.0,1434.0
8444.0,1424.0
8623.0,1653.0
9326.0,1699.0
9345.0,1903.0
9366.0,1372.0
9387.0,2027.0
9429.0,1679.0
9565.0,1932.0
9566.0,1404.0
9585.0,2045.0
9631.0,1717.0
9762.0,1953.0
9766.0,1400.0
9783.0,2077.0
9828.0,1763.0
9962.0,1987.0
9966.0,1394.0
9986.0,2124.0
10026.0,1776.0
10165.0,1989.0
10166.0,1456.0
10187.0,2130.0
10226.0,1812.0
10358.0,2033.0
10366.0,1415.0
10388.0,2165.0
10566.0,1478.0
10582.0,2137.0
10635.0,1791.0
10763.0,2021.0
10766.0,1476.0
10773.0,2154.0
10821.0,1817.0
10954.0,2056.0
10966.0,1413.0
10973.0,2185.0
11009.0,1839.0
11163.0,2080.0
11166.0,1449.0
11171.0,2217.0
11212.0,1841.0
11365.0,2081.0
11366.0,1455.0
11372.0,2229.0
11432.0,1829.0
11558.0,2087.0
11566.0,1464.0
11587.0,2314.0
11766.0,1612.0
11771.0,2304.0
11967.0,1659.0
11972.0,2319.0
12168.0,1481.0
12173.0,2321.0
12220.0,1888.0
12366.0,2122.0
12368.0,1474.0
12375.0,2387.0
12568.0,1438.0
12573.0,2395.0
12768.0,1489.0
12773.0,2334.0
12821.0,1882.0
12966.0,2126.0
12968.0,1482.0
12973.0,2367.0
13168.0,1549.0
13173.0,2393.0
13369.0,1719.0
13373.0,2464.0
13568.0,1632.0
13573.0,2462.0
13623.0,1884.0
13766.0,2165.0
13768.0,1395.0
13773.0,2434.0
13968.0,1439.0
13974.0,2465.0
14168.0,1488.0
14174.0,2448.0
14368.0,1516.0
14373.0,2395.0
14422.0,1900.0
14562.0,2137.0
14568.0,1439.0
14575.0,2444.0
14769.0,1643.0
14774.0,2422.0
14813.0,1886.0
14964.0,2150.0
14970.0,1498.0
14975.0,2408.0
15170.0,1608.0
15177.0,2421.0
15370.0,1426.0
15376.0,2366.0
15570.0,1560.0
15575.0,2363.0
15611.0,1887.0
15762.0,2163.0
15770.0,1434.0
15775.0,2371.0
15831.0,1864.0
15968.0,2142.0
15970.0,1507.0
15975.0,2435.0
16170.0,1538.0
16175.0,2315.0
16225.0,1855.0
16365.0,2118.0
16370.0,1448.0
16375.0,2507.0
16570.0,1426.0
16575.0,2401.0
16771.0,1640.0
16774.0,2375.0
16814.0,1880.0
16968.0,2132.0
16970.0,1430.0
16975.0,2375.0
17170.0,1644.0
17175.0,2382.0
17224.0,1846.0
17359.0,2165.0
17370.0,1421.0
17375.0,2414.0
17570.0,1642.0
17598.0,2647.0
17646.0,1428.0
17771.0,2544.0
17789.0,1445.0
17833.0,1973.0
17936.0,1592.0
17945.0,2565.0
17962.0,1452.0
18119.0,2561.0
18171.0,1438.0
18294.0,3416.0
18306.0,1431.0
18468.0,3323.0
18481.0,1441.0
18532.0,1959.0
18632.0,1670.0
18642.0,3384.0
18662.0,1425.0
18816.0,3451.0
18850.0,1422.0
18990.0,3575.0
19038.0,1425.0
19164.0,3611.0
19173.0,1446.0
19337.0,2781.0
19347.0,1423.0
19398.0,1966.0
19463.0,2133.0
19502.0,1847.0
19511.0,3079.0
19555.0,1420.0
19685.0,4433.0
19741.0,1435.0
19859.0,5597.0
19920.0,1440.0
20033.0,7301.0
20040.0,1436.0
20162.0,6806.0
20207.0,8505.0
20215.0,1449.0
