event_id,direction,start_idx,end_idx,start_x,end_x,start_y,end_y,duration,delta_y,max_abs_slope
1,up,122,128,123.0,129.0,1543.0,65535.0,6,63992.0,12802.8
2,down,251,259,252.0,260.0,65535.0,53063.0,8,-12472.0,2487.8
3,down,372,378,373.0,379.0,49735.0,1534.0,6,-48201.0,9649.39999999999
4,up,1338,1344,1339.0,1345.0,1490.0,65535.0,6,64045.0,12816.4
5,down,1448,1461,1449.0,1462.0,65535.0,52454.0,13,-13081.0,2307.400000000006
6,up,1483,1489,1484.0,1490.0,51851.0,65535.0,6,13684.0,2752.0000000000027
7,down,1714,1729,1715.0,1730.0,65535.0,1482.0,15,-64053.0,11785.599999999995
8,up,2012,2023,2013.0,2024.0,1516.0,55395.0,11,53879.0,11085.0
9,down,2232,2247,2233.0,2248.0,65525.0,2983.0,15,-62542.0,12249.2
10,down,2270,2276,2271.0,2277.0,2730.0,1396.0,6,-1334.0,278.79999999999995
11,up,8433,8441,8434.0,8442.0,1424.0,8766.0,8,7342.0,1459.7999999999995
12,up,9337,9387,9338.0,9388.0,5524.0,57160.0,50,51636.0,5889.800000000002
13,down,9387,9414,9388.0,9415.0,57160.0,43416.0,27,-13744.0,1837.5999999999956
14,down,9435,9442,9436.0,9443.0,42704.0,40664.0,7,-2040.0,420.0000000000043
15,up,9565,9587,9566.0,9588.0,52127.0,57268.0,22,5141.0,1351.3999999999985
16,down,9587,9610,9588.0,9611.0,57268.0,44128.0,23,-13140.0,1779.3999999999985
17,down,9634,9674,9635.0,9675.0,43419.0,45497.0,40,2078.0,498.2000000000014
18,up,9765,9787,9766.0,9788.0,49171.0,57611.0,22,8440.0,1126.6000000000015
19,down,9787,9812,9788.0,9813.0,57611.0,45420.0,25,-12191.0,1698.8
20,down,9834,9842,9835.0,9843.0,44369.0,41669.0,8,-2700.0,536.8
21,up,9965,9987,9966.0,9988.0,53642.0,58247.0,22,4605.0,1065.8
22,down,9987,10006,9988.0,10007.0,58247.0,46549.0,19,-11698.0,1853.8
23,down,10034,10042,10035.0,10043.0,44828.0,42272.0,8,-2556.0,544.0000000000043
24,up,10168,10187,10169.0,10188.0,50305.0,58575.0,19,8270.0,943.5999999999956
25,down,10187,10206,10188.0,10207.0,58575.0,47070.0,19,-11505.0,1816.3999999999985
26,down,10234,10242,10235.0,10243.0,45306.0,42373.0,8,-2933.0,553.8
27,up,10365,10387,10366.0,10388.0,50124.0,58990.0,22,8866.0,932.2000000000073
28,down,10387,10404,10388.0,10405.0,58990.0,47406.0,17,-11584.0,1900.8
29,down,10435,10468,10436.0,10469.0,45208.0,46025.0,33,817.0,581.8
30,down,10562,10566,10563.0,10567.0,47541.0,44649.0,4,-2892.0,637.999999999997
31,up,10566,10587,10567.0,10588.0,44649.0,59139.0,21,14490.0,1095.7999999999913
32,down,10587,10612,10588.0,10613.0,59139.0,46374.0,25,-12765.0,1958.1999999999941
33,down,10635,10643,10636.0,10644.0,45316.0,42435.0,8,-2881.0,568.999999999997
34,down,10762,10768,10763.0,10769.0,47621.0,49840.0,6,2219.0,596.0000000000116
35,up,10768,10787,10769.0,10788.0,49840.0,59049.0,19,9209.0,1104.8000000000059
36,down,10787,10806,10788.0,10807.0,59049.0,47183.0,19,-11866.0,1909.2000000000014
37,down,10835,10842,10836.0,10843.0,44911.0,42333.0,7,-2578.0,591.999999999997
38,up,10965,10987,10966.0,10988.0,51710.0,58920.0,22,7210.0,1114.3999999999971
39,down,10987,11011,10988.0,11012.0,58920.0,46470.0,24,-12450.0,1963.2000000000014
40,down,11035,11042,11036.0,11043.0,45149.0,42361.0,7,-2788.0,612.4000000000058
41,up,11165,11187,11166.0,11188.0,47498.0,58988.0,22,11490.0,1150.5999999999942
42,down,11187,11208,11188.0,11209.0,58988.0,46831.0,21,-12157.0,1888.8
43,down,11235,11242,11236.0,11243.0,44992.0,42336.0,7,-2656.0,547.2000000000014
44,up,11248,11263,11249.0,11264.0,43290.0,45514.0,15,2224.0,263.80000000000587
45,up,11365,11387,11366.0,11388.0,47628.0,59028.0,22,11400.0,1245.6000000000015
46,down,11387,11406,11388.0,11407.0,59028.0,47034.0,19,-11994.0,1930.3999999999985
47,down,11434,11442,11435.0,11443.0,44961.0,42248.0,8,-2713.0,597.6000000000029
48,up,11565,11571,11566.0,11572.0,47631.0,47855.0,6,224.0,666.000000000003
49,up,11572,11587,11573.0,11588.0,48357.0,58967.0,15,10610.0,1190.8000000000059
50,down,11587,11608,11588.0,11609.0,58967.0,46806.0,21,-12161.0,1878.3999999999985
51,down,11635,11642,11636.0,11643.0,45488.0,42263.0,7,-3225.0,660.8
52,up,11765,11771,11766.0,11772.0,47181.0,47896.0,6,715.0,635.2
53,up,11772,11787,11773.0,11788.0,47938.0,58702.0,15,10764.0,1257.6000000000015
54,down,11787,11814,11788.0,11815.0,58702.0,46011.0,27,-12691.0,1827.7999999999927
55,down,11834,11843,11835.0,11844.0,45341.0,42123.0,9,-3218.0,558.2000000000014
