timestamp,x,value,direction,event_type,delta_y,max_abs_slope
2026:03:06:15:28:44:693,123.0,1704.0,陡升,陡升起點,36591.0,7323.399999999998
2026:03:06:15:28:47:193,128.0,38295.0,陡升,陡升終點,36591.0,7323.399999999998
2026:03:06:15:28:59:693,153.0,38532.0,陡降,陡降起點,-6070.0,1301.800000000001
2026:03:06:15:29:02:693,159.0,32462.0,陡降,陡降終點,-6070.0,1301.800000000001
2026:03:06:15:29:09:193,172.0,32979.0,陡降,陡降起點,-4821.0,975.6000000000004
2026:03:06:15:29:12:693,179.0,28158.0,陡降,陡降終點,-4821.0,975.6000000000004
2026:03:06:15:29:16:693,187.0,28054.0,陡降,陡降起點,-6224.0,1295.0000000000018
2026:03:06:15:29:21:693,197.0,21830.0,陡降,陡降終點,-6224.0,1295.0000000000018
2026:03:06:15:29:40:693,235.0,21451.0,陡升,陡升起點,11275.0,2131.199999999999
2026:03:06:15:29:45:693,245.0,32726.0,陡升,陡升終點,11275.0,2131.199999999999
2026:03:06:15:29:46:193,246.0,32884.0,陡降,陡降起點,-18308.0,1968.7999999999975
2026:03:06:15:29:53:693,261.0,14576.0,陡降,陡降終點,-18308.0,1968.7999999999975
2026:03:06:15:30:50:193,373.0,13734.0,陡降,陡降起點,-12037.0,2407.7999999999993
2026:03:06:15:31:09:340,378.0,1697.0,陡降,陡降終點,-12037.0,2407.7999999999993
2026:03:06:15:39:09:840,1339.0,1654.0,陡升,陡升起點,36981.0,7546.6
2026:03:06:15:39:12:840,1345.0,38635.0,陡升,陡升終點,36981.0,7546.6
2026:03:06:15:39:13:340,1346.0,39358.0,陡降,陡降起點,-15817.0,2028.800000000001
2026:03:06:15:39:20:840,1361.0,23541.0,陡降,陡降終點,-15817.0,2028.800000000001
2026:03:06:15:39:24:341,1368.0,23388.0,陡升,陡升起點,12619.0,2316.3999999999996
2026:03:06:15:39:29:340,1378.0,36007.0,陡升,陡升終點,12619.0,2316.3999999999996
2026:03:06:15:39:32:840,1385.0,35624.0,陡降,陡降起點,-12965.0,2365.7999999999975
2026:03:06:15:39:38:340,1396.0,22659.0,陡降,陡降終點,-12965.0,2365.7999999999975
2026:03:06:15:40:04:340,1448.0,22449.0,陡降,陡降起點,-7573.0,922.8000000000011
2026:03:06:15:40:10:340,1460.0,14876.0,陡降,陡降終點,-7573.0,922.8000000000011
2026:03:06:15:40:22:340,1484.0,14763.0,陡升,陡升起點,14792.0,2926.199999999999
2026:03:06:15:40:26:840,1493.0,29555.0,陡升,陡升終點,14792.0,2926.199999999999
2026:03:06:15:41:35:340,1630.0,29626.0,陡降,陡降起點,-5862.0,1189.3999999999996
2026:03:06:15:41:38:841,1637.0,23764.0,陡降,陡降終點,-5862.0,1189.3999999999996
2026:03:06:15:41:39:341,1638.0,23817.0,陡升,陡升起點,5860.0,1168.399999999996
2026:03:06:15:41:43:840,1647.0,29677.0,陡升,陡升終點,5860.0,1168.399999999996
